source;fr;fr_dbta;en;en_dbta;pt;pt_dbta;es;es_dbta
school.list_of_establishments;Liste des établissements;Liste des établissements;List of TVET Schools;List of TVET Schools;Lista de estabelecimentos;Lista de estabelecimentos;Lista de centros de EFTP;Lista de centros de EFTP
school.proposed_certificates_degrees;Certificats / diplômes proposés;Certificats / diplômes proposés;Certificates / diplomas offered;Certificates / diplomas offered;Certificados / diplomas oferecidos;Certificados / diplomas oferecidos;Certificados / diplomas ofrecidos;Certificados / diplomas ofrecidos
school.several_possible_choices;plusieurs choix possibles (+ touche ctrl);plusieurs choix possibles (+ touche ctrl);several choices possible (+ ctrl key);several choices possible (+ ctrl key);várias opções possíveis (+ tecla ctrl);várias opções possíveis (+ tecla ctrl);varias opciones posibles (+ tecla ctrl);varias opciones posibles (+ tecla ctrl)
school.other_degree_separated_by_a_comma_if_more_than_one;Autres diplômes (séparés par une virgule si plusieurs);Autres diplômes (séparés par une virgule si plusieurs);Other diplomas (separated by a comma if several);Other diplomas (separated by a comma if several);Outros diplomas (separados por vírgula se forem vários);Outros diplomas (separados por vírgula se forem vários);Otros títulos (separados por una coma si son varios);Otros títulos (separados por una coma si son varios)
school.training_offers_1_sector_minimum_and_6_maximum;Offres de formation (1 secteur minimum et 6 maximum);Offres de formation (1 secteur minimum et 6 maximum);Training offers (1 sector minimum and 6 maximum);Training offers (1 sector minimum and 6 maximum);Ofertas de formação (1 sector no mínimo e 6 no máximo);Ofertas de formação (1 sector no mínimo e 6 no máximo);Ofertas de formación (1 sector como mínimo y 6 como máximo);Ofertas de formación (1 sector como mínimo y 6 como máximo)
school.search_for_your_channels;Rechercher vos filières;Rechercher vos filières;Find your courses;Find your courses;Encontre os seus cursos;Encontre os seus cursos;Encuentre sus cursos;Encuentre sus cursos
school.list_of_courses_of_study;Liste des filières;Liste des filières;List of sectors;List of sectors;Lista de sectores;Lista de sectores;Lista de sectores;Lista de sectores
school.select_the_channels_to_add;Sélectionnez les filières à ajouter;Sélectionnez les filières à ajouter;Select the courses to add;Select the courses to add;Seleccione os cursos a adicionar;Seleccione os cursos a adicionar;Seleccione los cursos a añadir;Seleccione los cursos a añadir
school.rate_of_your_graduates_by_degree;Taux de vos diplômés par diplômes;Taux de vos diplômés par diplômes;Rate of your graduates by degree;Rate of your graduates by degree;Taxa de graduados por grau académico;Taxa de graduados por grau académico;Tasa de graduados por graduación;Tasa de graduados por graduación
school.graduation_rates_by_degree;Taux des diplômés par diplômes;Taux des diplômés par diplômes;Rate of graduates by degree;Rate of graduates by degree;Taxa de graduados por grau;Taxa de graduados por grau;Tasa de graduados por graduación;Tasa de graduados por graduación
school.professional_traning_and_dropout_rate_of_enroll_students;Taux de formation professionnelle et taux d'abandon des étudiants enrôlés;Taux de formation professionnelle et taux d'abandon des étudiants enrôlés;Rate of in professional traning and dropout rate of enroll students;Rate of in professional traning and dropout rate of enroll students;Taxa de formação profissional e taxa de abandono dos alunos matriculados;Taxa de formação profissional e taxa de abandono dos alunos matriculados;Tasa de formación profesional y tasa de abandono de los estudiantes matriculados;Tasa de formación profesional y tasa de abandono de los estudiantes matriculados
school.professional_integration_rate_of_graduates;Taux d'insertion professionnelle des diplômés;Taux d'insertion professionnelle des diplômés;Professional integration rate of graduates;Professional integration rate of graduates;Taxa de integração profissional dos graduados;Taxa de integração profissional dos graduados;Tasa de inserción profesional de los graduados;Tasa de inserción profesional de los graduados
school.graduates_integration_rate;Taux d'insertion global des diplômés;Taux d'insertion global des diplômés;Overall integration rate of graduates;Overall integration rate of graduates;Taxa global de integração dos diplomados;Taxa global de integração dos diplomados;Tasa global de integración de los graduados;Tasa global de integración de los graduados
school.Proportion_of_graduates_continuing_their_studies;Proportion des diplômés poursuivant les études;Proportion des diplômés poursuivant les études;Proportion of graduates continuing their studies;Proportion of graduates continuing their studies;Proporção de graduados que continuam seus estudos;Proporção de graduados que continuam seus estudos;Proporción de graduados que continúan sus estudios;Proporción de graduados que continúan sus estudios
school.Proportion_of_self-employment_in_employment;Proportion d'auto-emploi dans l'emploi;Proportion d'auto-emploi dans l'emploi;Proportion of self-employment in employment;Proportion of self-employment in employment;Proporção de trabalho autônomo no emprego;Proporção de trabalho autônomo no emprego;Proporción de trabajadores por cuenta propia en el empleo;Proporción de trabajadores por cuenta propia en el empleo
school.with_without_surveys_response;avec ou sans réponse aux enquêtes;avec ou sans réponse aux enquêtes;with or without surveys response;with or without surveys response;com ou sem resposta a pesquisas;com ou sem resposta a pesquisas;con o sin respuesta a encuestas;con o sin respuesta a encuestas
school.Self-employment_rate;Taux d'auto-emploi;Taux d'auto-emploi;Self-employment rate;Self-employment rate;Taxa de trabalho autônomo;Taxa de trabalho autônomo;Tasa de autoempleo;Tasa de autoempleo
school.Enrollment_rate_of_graduates_during_the_period;Taux d'enrolement des diplômés dans la période;Taux d'enrolement des diplômés dans la période;Enrollment rate of graduates during the period;Enrollment rate of graduates during the period;Taxa de matrícula de graduados no período;Taxa de matrícula de graduados no período;Tasa de matrícula de egresados ??durante el período;Tasa de matrícula de egresados ??durante el período
school.Response_rate;Taux de réponses;Taux de réponses;Response rate;Response rate;Taxa de resposta;Taxa de resposta;Tasa de respuesta;Tasa de respuesta
school.Self-employment_rate_of_diplomas;Taux d'auto emploi des diplômes;Taux d'auto emploi des diplômes;Self-employment rate of diplomas;Self-employment rate of diplomas;Taxa de diplomas de trabalho autônomo;Taxa de diplomas de trabalho autônomo;Tasa de autoempleo de diplomas;Tasa de autoempleo de diplomas
school.Unemployment_rate_of_TVET_graduates;Taux de chômage des diplômés de l’EFTP;Taux de chômage des diplômés de l’EFTP;Unemployment rate of TVET graduates;Unemployment rate of TVET graduates;Taxa de desemprego dos graduados da TVET;Taxa de desemprego dos graduados da TVET;Tasa de desempleo de los graduados de EFTP;Tasa de desempleo de los graduados de EFTP
school.Enrollment_rate_of_graduates_for_the_period_considered_over_3_years;Taux d'enrôlement des diplômés de la période considérée sur 3 ans;Taux d'enrôlement des diplômés de la période considérée sur 3 ans;Enrollment rate of graduates for the period considered over 3 years;Enrollment rate of graduates for the period considered over 3 years;Taxa de matrícula de diplomados no período considerado superior a 3 anos;Taxa de matrícula de diplomados no período considerado superior a 3 anos;Tasa de matrícula de graduados para el período considerado durante 3 años;Tasa de matrícula de graduados para el período considerado durante 3 años
;;;;;;;;
school.students_drop;Abandon des étudiants;Abandon des étudiants;Student dropout;Student dropout;Abandono estudantil;Abandono estudantil;Abandono estudiantil;Abandono estudiantil
school.students_in_training;Etudiants en cours de formation;Etudiants en cours de formation;Students in training;Students in training;Alunos em treinamento;Alunos em treinamento;Estudiantes en formación;Estudiantes en formación
school.graduates_in_employment;Diplômés en emploi;Diplômés en emploi;Graduates in employment;Graduates in employment;Graduados com emprego;Graduados com emprego;Graduados con empleo;Graduados con empleo
school.entrepreneurship_graduates;Diplômés entrepreneurs;Diplômés entrepreneurs;Graduate Entrepreneurs;Graduate Entrepreneurs;Empresários graduados;Empresários graduados;Graduados emprendedores;Graduados emprendedores
school.studying_graduates;Diplômés en poursuite d'études;Diplômés en poursuite d'études;Graduates continuing their studies;Graduates continuing their studies;Graduados continuam seus estudos;Graduados continuam seus estudos;Graduados que continúan sus estudios.;Graduados que continúan sus estudios.
school.search_graduates;Diplômés en recherche d'emploi;Diplômés en recherche d'emploi;Graduates seeking employment;Graduates seeking employment;Graduados em busca de emprego;Graduados em busca de emprego;Graduados que buscan empleo;Graduados que buscan empleo
school.unemployed_graduates;Diplômés sans emploi;Diplômés sans emploi;Unemployed graduates;Unemployed graduates;Graduados desempregados;Graduados desempregados;Graduados desempleados;Graduados desempleados
school.employed_rate;Taux d'emploi;Taux d'emploi;Employment rate;Employment rate;Taxa de emprego;Taxa de emprego;Tasa de empleo;Tasa de empleo
school.unemployed_graduates_pursuing_studies_related_to_their_first_degree;Diplômés sans emploi en poursuite d'études%tag_br% %tag_a_start%en lien%tag_a_end% avec leur premier diplôme;Diplômés sans emploi en poursuite d'études%tag_br% %tag_a_start%en lien%tag_a_end% avec leur premier diplôme;Unemployed graduates pursuing studies%tag_br%%tag_a_start%related%tag_a_end% to their first degree;Unemployed graduates pursuing studies%tag_br%%tag_a_start%related%tag_a_end% to their first degree;Graduados desempregados que prosseguem estudos%tag_br%%tag_a_start%relacionados%tag_a_end% com o seu primeiro grau;Graduados desempregados que prosseguem estudos%tag_br%%tag_a_start%relacionados%tag_a_end% com o seu primeiro grau;Graduados desempleados que cursan estudios%tag_br%%tag_a_start%relacionados%tag_a_end% con su primera graduación;Graduados desempleados que cursan estudios%tag_br%%tag_a_start%relacionados%tag_a_end% con su primera graduación
school.unemployed_graduates_pursuing_studies_unrelated_to_their_first_degree;Diplômés sans emploi en poursuite d'études%tag_br%%tag_a_start%sans lien%tag_a_end% avec leur premier diplôme;Diplômés sans emploi en poursuite d'études%tag_br%%tag_a_start%sans lien%tag_a_end% avec leur premier diplôme;Unemployed graduates pursuing studies%tag_br%%tag_a_start%unrelated%tag_a_end% with their first degree;Unemployed graduates pursuing studies%tag_br%%tag_a_start%unrelated%tag_a_end% with their first degree;Graduados desempregados que prosseguem estudos%tag_br%%tag_a_start%unrelated%tag_a_end% com o seu primeiro grau;Graduados desempregados que prosseguem estudos%tag_br%%tag_a_start%unrelated%tag_a_end% com o seu primeiro grau;Graduados desempleados que cursan estudios%tag_br%%tag_a_start% no relacionados %tag_a_end% con su primera graduación;Graduados desempleados que cursan estudios%tag_br%%tag_a_start% no relacionados %tag_a_end% con su primera graduación
school.rate_of_reasons_for_unemployment_of_unemployed_graduates;Taux des raisons du chômage des diplômés sans emploi;Taux des raisons du chômage des diplômés sans emploi;Rate of unemployment reasons for unemployed graduates;Rate of unemployment reasons for unemployed graduates;Taxa de motivos de desemprego dos graduados desempregados;Taxa de motivos de desemprego dos graduados desempregados;Tasa de motivos de desempleo de los graduados desempleados;Tasa de motivos de desempleo de los graduados desempleados
school.employed_graduates_by_type_of_contract;Diplômés salariés par type de contrat;Diplômés salariés par type de contrat;Salaried graduates by type of contract;Salaried graduates by type of contract;Graduados assalariados por tipo de contrato;Graduados assalariados por tipo de contrato;Graduados asalariados por tipo de contrato;Graduados asalariados por tipo de contrato
school.rate_of_reasons_for_employed_graduates_working_in_occupations_unrelated_to_their_degree;Taux des raisons relatives à ce qu'un diplômé en emploi exerce un métier sans lien avec son diplôme;Taux des raisons relatives à ce qu'un diplômé en emploi exerce un métier sans lien avec son diplôme;Rate of reasons for a graduate to work in a profession unrelated to her/his degree;Rate of reasons for a graduate to work in a profession unrelated to her/his degree;Taxa de motivos que levam um graduado a trabalhar numa profissão não relacionada com o seu diploma;Taxa de motivos que levam um graduado a trabalhar numa profissão não relacionada com o seu diploma;Tasa de razones para que un graduado trabaje en una profesión no relacionada con su graduación;Tasa de razones para que un graduado trabaje en una profesión no relacionada con su graduación
school.rate_of_reasons_why_the_professional_training_was_not_useful_to_an_entrepreneurial_graduate;Taux des raisons relatives à ce que la formation professionnelle n'ait pas été utile à un diplômé entrepreneur;Taux des raisons relatives à ce que la formation professionnelle n'ait pas été utile à un diplômé entrepreneur;Rate of reasons why vocational training was not useful to an entrepreneur graduate;Rate of reasons why vocational training was not useful to an entrepreneur graduate;Taxa de razões pelas quais a formação profissional foi útil para um graduado empresário;Taxa de razões pelas quais a formação profissional foi útil para um graduado empresário;Índice de razones por las que la formación profesional no fue útil para un empresario graduado;Índice de razones por las que la formación profesional no fue útil para un empresario graduado
school.rate_of_occupations_held_by_entrepreneurial_graduates;Taux des métiers occupés par les diplômés entrepreneurs;Taux des métiers occupés par les diplômés entrepreneurs;Rate of occupations occupied by graduate entrepreneurs;Rate of occupations occupied by graduate entrepreneurs;Taxa de profissões ocupadas por empresários graduados;Taxa de profissões ocupadas por empresários graduados;Tasa de ocupaciones ocupadas por empresarios graduados;Tasa de ocupaciones ocupadas por empresarios graduados
school.evolution_of_the_number_of_creation_of_schools;Evolution du nombre de création des Etablissements;Evolution du nombre de création des Etablissements;Evolution of the number of TVET Schools creation;Evolution of the number of TVET Schools creation;Evolução do número de criações de estabelecimentos;Evolução do número de criações de estabelecimentos;Evolución del número de creación de centros de EFTP;Evolución del número de creación de centros de EFTP
school.evolution_of_the_number_of_creation_of_the_graduates;Evolution du nombre de création des Diplomés;Evolution du nombre de création des Diplomés;Evolution of the number of graduates creation;Evolution of the number of graduates creation;Evolução do número de criações de graduados;Evolução do número de criações de graduados;Evolución del número de creación de graduados;Evolución del número de creación de graduados
school.evolution_of_the_number_of_surveys_of_graduates;Evolution du nombre d'enquêtes des Diplômés;Evolution du nombre d'enquêtes des Diplômés;Evolution of the number of Alumni surveys;Evolution of the number of Alumni surveys;Evolução do número de inquéritos aos alunos antigos;Evolução do número de inquéritos aos alunos antigos;Evolución del número de encuestas Alumni;Evolución del número de encuestas Alumni
school.other_establishment;Autre établissement;Autre établissement;Other institution;Other institution;Outra instituição;Outra instituição;Otra institución;Otra institución
school.new_establishment;Nouvel établissement;Nouvel établissement;New TVET School;New TVET School;Novo estabelecimento;Novo estabelecimento;Nuevo centro de FP;Nuevo centro de FP
school.schools_from_start_to_end;Etablissements du %begin_date% au %end_date%;Etablissements du %begin_date% au %end_date%;TVET School from %begin_date% to %end_date%;TVET School from %begin_date% to %end_date%;Estabelecimento de %begin_date% a %end_date%;Estabelecimento de %begin_date% a %end_date%;EFTP desde %fecha_inicio% hasta %fecha_final%.;EFTP desde %fecha_inicio% hasta %fecha_final%.
school.schools_by_sector_of_activity;Etablissements par secteurs d'activités;Etablissements par secteurs d'activités;TVET School by business sector;TVET School by business sector;Estabelecimento por sector de actividade;Estabelecimento por sector de actividade;EFTP por sector de actividad;EFTP por sector de actividad
school.total_country_graduates;Nombre  de diplômés du pays depuis 3 ans;Nombre  de diplômés du pays depuis 3 ans;Number of graduates in the country over the past 3 years;Number of graduates in the country over the past 3 years;Número de graduados no país nos últimos 3 anos;Número de graduados no país nos últimos 3 anos;Número de graduados en el país en los últimos 3 años;Número de graduados en el país en los últimos 3 años
;;;;;;;;
country.list_of_countries;Liste des pays;Liste des provinces;List of countries;List of provinces;Lista de países;Lista de provincias;Lista de países;Lista de provincias
country.edit_a_country;Modification d'un pays;Modification d'une province;Editing a country;Editing a province;Editar um país;Editar um provincia;Editar un país;Editar un provincia
country.add_a_country;Ajouter un pays;Ajouter une province;Add a country;Add a province;Adicionar um país;Adicionar um provincia;Añadir un país;Añadir un provincia
country.adding_a_country;Ajout d'un pays;Ajout d'une province;Adding a country;Adding a province;Adicionar um país;Adicionar um provincia;Añadir un país;Añadir un provincia
country.iso_code;Code ISO;Code ISO;ISO code;ISO code;Código ISO;Código ISO;Código ISO;Código ISO
currency.iso_code;Code ISO;Code ISO;ISO code;ISO code;Código ISO;Código ISO;Código ISO;Código ISO
currency.iso_name;Nom ISO;Nom ISO;ISO name;ISO name;Nome ISO;Nome ISO;Nombre ISO;Nombre ISO
currency.iso_number;Num ISO;Num ISO;ISO number;ISO number;Número ISO;Número ISO;Número ISO;Número ISO
currency.iso_symbol;Symbole ISO;Symbole ISO;ISO symbol;ISO symbol;Símbolo ISO;Símbolo ISO;Símbolo ISO;Símbolo ISO
currency.editing_a_currency;Modification d'une devise;Modification d'une devise;Currency modification;Currency modification;Alteração da moeda;Alteração da moeda;Modificación de moneda;Modificación de moneda
currency.add_a_currency;Ajouter une devise;Ajouter une devise;Add currency;Add currency;Adicionar moeda;Adicionar moeda;Añadir moneda;Añadir moneda
currency.adding_a_currency;Ajout d'une devise;Ajout d'une devise;Adding a currency;Adding a currency;Adicionar uma moeda;Adicionar uma moeda;Añadir una divisa;Añadir una divisa
currency.list_of_currencies;Liste des devises;Liste des devises;List of currencies;List of currencies;Lista de moedas;Lista de moedas;Lista de divisas;Lista de divisas
contract.edit_contract;Modification d'un contrat;Modification d'un contrat;Modifying a contract;Modifying a contract;Alteração de um contrato;Alteração de um contrato;Modificar un contrato;Modificar un contrato
contract.employment_contracts;Contrats de travail;Contrats de travail;Employment contracts;Employment contracts;Contratos de trabalho;Contratos de trabalho;Contratos de trabajo;Contratos de trabajo
contract.add_a_contract;Ajouter un contrat;Ajouter un contrat;Add contract;Add contract;Adicionar contrato;Adicionar contrato;Añadir contrato;Añadir contrato
dashboard.legend;Légende;Légende;Legend;Legend;Legenda;Legenda;Leyenda;Leyenda
dashboard.month;Mois;Mois;Month;Month;Mês;Mês;Mes;Mes
dashboard.week;Semaine;Semaine;Week;Week;Semana;Semana;Semana;Semana
dashboard.months;Mois;Mois;Months;Months;Meses;Meses;Mes;Mes
dashboard.weeks;Semaines;Semaines;Weeks;Weeks;Semanas;Semanas;Semanas;Semanas
dashboard.total_schools;Total Etablissements;Total Etablissements;Total Schools;Total Schools;Total de escolas;Total de escolas;Total Escuelas;Total Escuelas
dashboard.total_companies;Total Entreprises;Total Entreprises;Total Companies;Total Companies;Total de empresas;Total de empresas;Total Empresas;Total Empresas
dashboard.total_graduates;Total Diplômés;Total Diplômés;Total Graduates;Total Graduates;Total de graduados;Total de graduados;Total Graduados;Total Graduados
dashboard.unemployed;sans emploi;sans emploi;unemployed;unemployed;desempregados;desempregados;desempleados;desempleados
dashboard.contractor;entrepreneurs;entrepreneurs;entrepreneur;entrepreneur;empreendedor;empreendedor;empresario;empresario
dashboard.employed;salariés;salariés;employed;employed;empregado;empregado;empleado;empleado
dashboard.to_ref_date;au;au;to;to;para;para;a;a
dashboard.from_ref_date;du;du;from;from;desde;desde;desde;desde
dashboard.for_ref_date;depuis;depuis;since;since;desde;desde;desde;desde
dashboard.graph_title_graduate;diplômés;diplômés;graduates;graduates;graduados;graduados;Graduados;Graduados
dashboard.graph_title_company;entreprises;entreprises;companies;companies;empresas;empresas;empresas;empresas
dashboard.graph_title_establisment;établissements;établissements;TVET Schools;TVET Schools;Escolas TVET;Escolas TVET;Centros de FP;Centros de FP
dashboard.end;fin;fin;end;end;fim;fim;fin;fin
dashboard.begin;début;début;begin;begin;começar;começar;comenzar;comenzar
dashboard.duration;durée;durée;duration;duration;duração;duração;duración;duración
dashboard.note_result_survey;note: le résultat dépend du taux d'enquêtes;note: le résultat dépend du taux d'enquêtes;note: the graph result depends on the rate of investigations;note: the result depends on the rate of investigations;nota: o resultado depende do ritmo de investigações;nota: o resultado depende do ritmo de investigações;nota: el resultado depende del ritmo de las investigaciones;nota: el resultado depende del ritmo de las investigaciones
menu.surveys;Enquêtes;Enquêtes;Surveys;Surveys;Inquéritos;Inquéritos;Encuestas;Encuestas
menu.survey;Enquête;Enquête;Survey;Survey;Inquéritos;Inquéritos;Encuesta;Encuesta
menu.with_survey;avec enquête;avec enquête;with survey;with survey;com pesquisa;com pesquisa;con encuesta;con encuesta
;;;;;;;;
joboffer.offer_title;Titre de l'offre;Titre de l'offre;Offer title;Offer title;Título da oferta;Título da oferta;Título de la oferta;Título de la oferta
joboffer.closed_date;Date d'expiration;Date d'expiration;Closed date;Closed date;Data de fechamento;Data de fechamento;Fecha de cierre;Fecha de cierre
joboffer.contact_name;Nom du contact;Nom du contact;Contact name;Contact name;Nome do contato;Nome do contato;Nombre de la persona de contacto;Nombre de la persona de contacto
joboffer.email_apply;Email pour postuler;Email pour postuler;Email to apply;Email to apply;E-mail para se candidatar;E-mail para se candidatar;Correo electrónico para solicitarlo;Correo electrónico para solicitarlo
joboffer.number_of_candidates_with_tag;Nombre de%tag_br%candidats;Nombre de%tag_br%candidats;Number of%tag_br%candidates;Number of%tag_br%candidates;Número de%tag_br%candidatos;Número de%tag_br%candidatos;Número de%tag_br%candidatos;Número de%tag_br%candidatos
;;;;;;;;
survey.investigation_in_progress;Enquête en cours;Enquête en cours;Ongoing survey;Ongoing survey;Investigação em curso;Investigação em curso;Encuesta continua;Encuesta continua
survey.responding_to_surveys;Répondre aux enquêtes;Répondre aux enquêtes;Answer to the surveys;Answer to the surveys;Responder a inquéritos;Responder a inquéritos;Respuesta a las encuestas;Respuesta a las encuestas
survey.list_of_surveys;Liste des enquêtes;Liste des enquêtes;List of surveys;List of surveys;Lista de inquéritos;Lista de inquéritos;Lista de encuestas;Lista de encuestas
survey.description_measurement_professional;Enquête relative à la mesure du taux d'insertion professionnelle des diplômés de l'enseignement technique et de la formation professionnelle et de la satisfaction des entreprises;Enquête relative à la mesure du taux d'insertion professionnelle des diplômés de l'enseignement technique et de la formation professionnelle et de la satisfaction des entreprises;"Measurement of the professional integration of TVET gradutaes in the labour market and of the satisfaction of companies

";"Measurement of the professional integration of TVET gradutaes in the labour market and of the satisfaction of companies

";Inquérito sobre a medição da taxa de integração profissional dos graduados do ensino técnico e da formação profissional e a satisfação das empresas;Inquérito sobre a medição da taxa de integração profissional dos graduados do ensino técnico e da formação profissional e a satisfação das empresas;Medición de la inserción profesional de los graduados de EFTP en el mercado laboral y de la satisfacción de las empresas;Medición de la inserción profesional de los graduados de EFTP en el mercado laboral y de la satisfacción de las empresas
survey.list_of_insertion_surveys_in_employment;Liste des enquêtes d'insertion (En emploi);Liste des enquêtes d'insertion (En emploi);List of integration surveys (In employment);List of integration surveys (In employment);Lista dos inquéritos de integração (em emprego);Lista dos inquéritos de integração (em emprego);Lista de encuestas de inserción (En busca de empleo);Lista de encuestas de inserción (En busca de empleo)
survey.list_of_insertion_surveys_looking_for_a_job;Liste des enquêtes d'insertion (En recherche d'emploi);Liste des enquêtes d'insertion (En recherche d'emploi);List of integration surveys (Job seekers);List of integration surveys (Job seekers);Lista de inquéritos de integração (candidatos a emprego);Lista de inquéritos de integração (candidatos a emprego);Lista de encuestas de inserción (Demandantes de empleo);Lista de encuestas de inserción (Demandantes de empleo)
survey.list_of_insertion_surveys_contractor;Liste des enquêtes d'insertion (Entrepreneur);Liste des enquêtes d'insertion (Entrepreneur);List of integration surveys (Entrepreneur);List of integration surveys (Entrepreneur);Lista de inquéritos de integração (Empreendedor);Lista de inquéritos de integração (Empreendedor);Lista de encuestas de inserción (Empresario);Lista de encuestas de inserción (Empresario)
survey.survey_status_with_tag;Statut de%tag_br%l'enquête;Statut de%tag_br%l'enquête;Status of %tag_br%survey;Status of %tag_br%survey;Estado do inquérito %tag_br;Estado do inquérito %tag_br;Estado de %tag_br%survey;Estado de %tag_br%survey
survey.how_many_employees_do_you_have;Combien de salariés employez-vous;Combien de salariés employez-vous;How many employees do you employ;How many employees do you employ;Quantos trabalhadores emprega;Quantos trabalhadores emprega;¿Cuántos empleados tiene?;¿Cuántos empleados tiene?
survey.how_many_apprentices_do_you_employ;Combien d'apprentis employez-vous;Combien d'apprentis employez-vous;How many apprentices do you employ;How many apprentices do you employ;Quantos aprendizes emprega;Quantos aprendizes emprega;¿Cuántos aprendices emplea?;¿Cuántos aprendices emplea?
survey.how_many_interns_do_you_employ;Combien de stagiaires employez-vous;Combien de stagiaires employez-vous;How many interns do you employ;How many interns do you employ;Quantos estagiários emprega;Quantos estagiários emprega;¿Cuántos becarios emplea?;¿Cuántos becarios emplea?
survey.what_is_the_sector_of_activity_of_your_workers;Quel est le secteur d'activité de vos ouvriers;Quel est le secteur d'activité de vos ouvriers;What is the sector of activity of your workers;What is the sector of activity of your workers;Qual é o sector de actividade dos seus trabalhadores;Qual é o sector de actividade dos seus trabalhadores;Cuál es el sector de actividad de sus trabajadores;Cuál es el sector de actividad de sus trabajadores
survey.other_areas_of_specialization_for_your_workers;Autre domaines de spécialisation de vos ouvriers;Autre domaines de spécialisation de vos ouvriers;Other areas of specialization of your workers;Other areas of specialization of your workers;Outros áreas de especialização dos seus trabalhadores;Outros áreas de especialização dos seus trabalhadores;Otras áreas de especialización de sus trabajadores;Otras áreas de especialización de sus trabajadores
survey.what_are_the_occupations_areas_of_specialization_of_your_workers_several_possible_choices;Quels sont les métiers / domaines de spécialisation de vos ouvriers ? plusieurs choix possibles (+ touche ctrl);Quels sont les métiers / domaines de spécialisation de vos ouvriers ? plusieurs choix possibles (+ touche ctrl);What are the professions / areas of specialization of your workers? several possible choices (+ ctrl key);What are the professions / areas of specialization of your workers? several possible choices (+ ctrl key);Quais são as profissões / áreas de especialização dos seus trabalhadores? várias escolhas possíveis (+ tecla ctrl);Quais são as profissões / áreas de especialização dos seus trabalhadores? várias escolhas possíveis (+ tecla ctrl);¿Cuáles son las profesiones / áreas de especialización de sus trabajadores? varias opciones posibles (+ tecla ctrl);¿Cuáles son las profesiones / áreas de especialización de sus trabajadores? varias opciones posibles (+ tecla ctrl)
survey.what_is_the_sector_of_activity_of_your_technicians;Quel est le secteur d'activité de vos techniciens;Quel est le secteur d'activité de vos techniciens;What is the sector of activity of your technicians;What is the sector of activity of your technicians;Qual é o sector de actividade dos seus técnicos;Qual é o sector de actividade dos seus técnicos;¿Cuál es el sector de actividad de sus técnicos?;¿Cuál es el sector de actividad de sus técnicos?
survey.other_areas_of_specialization_for_your_technicians;Autre domaines de spécialisation de vos techniciens;Autre domaines de spécialisation de vos techniciens;Other areas of specialization of your technicians;Other areas of specialization of your technicians;Outras áreas de especialização dos vossos técnicos;Outras áreas de especialização dos vossos técnicos;Otras áreas de especialización de sus técnicos;Otras áreas de especialización de sus técnicos
survey.what_are_the_professions_fields_of_specialization_of_your_technicians_several_possible_choices;Quels sont les métiers / domaines de spécialisation de vos techniciens ? plusieurs choix possibles (+ touche ctrl);Quels sont les métiers / domaines de spécialisation de vos techniciens ? plusieurs choix possibles (+ touche ctrl);What are the professions / areas of specialization of your technicians? several possible choices (+ ctrl key);What are the professions / areas of specialization of your technicians? several possible choices (+ ctrl key);Quais são as profissões / áreas de especialização dos vossos técnicos? várias escolhas possíveis (+ tecla ctrl);Quais são as profissões / áreas de especialização dos vossos técnicos? várias escolhas possíveis (+ tecla ctrl);¿Cuáles son las profesiones / áreas de especialización de sus técnicos? varias opciones posibles (+ tecla ctrl);¿Cuáles son las profesiones / áreas de especialización de sus técnicos? varias opciones posibles (+ tecla ctrl)
survey.you_have_just_hired_one_or_more_young_graduates_in_vocational_and_technical_training.are_you_satisfied_with_their_skills_with_tag;Vous venez d’embaucher un ou des jeune(s) diplômé(s) en formation professionnelle et technique.%tag_br%Etes-vous satisfaits de ses / leurs compétences;Vous venez d’embaucher un ou des jeune(s) diplômé(s) en formation professionnelle et technique.%tag_br%Etes-vous satisfaits de ses / leurs compétences;You have just hired one or more young TVET graduate(s). %tag_br% Are you satisfied with their skills;You have just hired one or more young TVET graduate(s). %tag_br% Are you satisfied with their skills;Acaba de contratar um ou mais jovens graduados em formação profissional e técnica.%tag_br%Está satisfeito com as suas competências?;Acaba de contratar um ou mais jovens graduados em formação profissional e técnica.%tag_br%Está satisfeito com as suas competências?;Acaba de contratar a uno o varios jóvenes graduados en FTP. %tag_br% ¿Está satisfecho con sus competencias?;Acaba de contratar a uno o varios jóvenes graduados en FTP. %tag_br% ¿Está satisfecho con sus competencias?
